title,institution,place,description,source_number,source_url,image_url,lat,lon,license,author,date
"Smørsallmenningen, Fortunen (Bergen)",Riksantikvaren/Nasjonalbiblioteket - Mittet,Bergen,Før brannen i 1916,T248_02_0374.jpg,URN:NBN:no-RAKV_arkiv_33ECD1BA89734E8D 87ABA47D294F5890,http://www.knreise.no/img/riksantikvaren/T248_02_0374.jpg,,,http://creativecommons.org/licenses/by/4.0/,Ukjent,Ukjent dato
Småstrandgaten (Bergen),Riksantikvaren/Nasjonalbiblioteket - Mittet,Bergen,1069 - N,T248_02_0375.jpg,URN:NBN:no-RAKV_arkiv_3C71BC0083914DC1 84D6BB0E9340A3D3,http://www.knreise.no/img/riksantikvaren/T248_02_0375.jpg,,,http://creativecommons.org/licenses/by/4.0/,Ukjent,Ukjent dato
Sandviksboder (Bergen),Riksantikvaren,Bergen,268. Eneret Wilse,T248_02_0376.jpg,URN:NBN:no-RAKV_arkiv_15D719FEBD384DA1 9997745087AD45A6,http://www.knreise.no/img/riksantikvaren/T248_02_0376.jpg,,,http://creativecommons.org/licenses/by/4.0/,Anders Beer Wilse,Ukjent dato
Sandviksboder (Bergen),Riksantikvaren,Bergen,268. Eneret Wilse,T248_02_0377.jpg,URN:NBN:no-RAKV_arkiv_D47DDE44A6D9471D 9888F2D416F278BE,http://www.knreise.no/img/riksantikvaren/T248_02_0377.jpg,,,http://creativecommons.org/licenses/by/4.0/,Anders Beer Wilse,Ukjent dato
Sandviken (Bergen),Riksantikvaren,Bergen,Beskrivelse mangler,T248_02_0378.jpg,URN:NBN:no-RAKV_arkiv_BADEE69E7DD74E38 99A86559616D036C,http://www.knreise.no/img/riksantikvaren/T248_02_0378.jpg,,,http://creativecommons.org/licenses/by/4.0/,Ukjent,Ukjent dato
"Småmøllen, Sandviken (Bergen)",Riksantikvaren,Bergen,Beskrivelse mangler,T248_02_0382.jpg,URN:NBN:no-RAKV_arkiv_78E8FB364757489D AA67EBC426469D7D,http://www.knreise.no/img/riksantikvaren/T248_02_0382.jpg,,,http://creativecommons.org/licenses/by/4.0/,Ukjent,Ukjent dato
"Småmøllen, Sandviken (Bergen)",Riksantikvaren,Bergen,Beskrivelse mangler,T248_02_0384.jpg,URN:NBN:no-RAKV_arkiv_17E9D1C79FB0456B 8EFF2FC0842997D8,http://www.knreise.no/img/riksantikvaren/T248_02_0384.jpg,,,http://creativecommons.org/licenses/by/4.0/,Ukjent,Ukjent dato
Sandviken (Bergen),Riksantikvaren,Bergen,Eneret Wilse,T248_02_0386.jpg,URN:NBN:no-RAKV_arkiv_8665E4C88DB046A5 9F6E761A6559803B,http://www.knreise.no/img/riksantikvaren/T248_02_0386.jpg,,,http://creativecommons.org/licenses/by/4.0/,Anders Beer Wilse,Ukjent dato
Sandviken (Bergen),Riksantikvaren,Bergen,Eneret Wilse,T248_02_0387.jpg,URN:NBN:no-RAKV_arkiv_E533A95AFAC04C59 A31CB31DB0E6A497,http://www.knreise.no/img/riksantikvaren/T248_02_0387.jpg,,,http://creativecommons.org/licenses/by/4.0/,Anders Beer Wilse,Ukjent dato
"Vågsalmenningen, Vågsallmenning (Bergen)",Riksantikvaren/Nasjonalbiblioteket - Mittet,Bergen,0334. Enerett Mittet & Co.,T248_02_0395.jpg,URN:NBN:no-RAKV_arkiv_2E74DED47C8D4D00 B72B85FB7CA11F7C,http://www.knreise.no/img/riksantikvaren/T248_02_0395.jpg,,,http://creativecommons.org/licenses/by/4.0/,Ukjent,Ukjent dato
